"Fondos 
Administrados",Aportantes,T. Cambio
" 144,664.29 "," 14,404,233.00 ", 12.93 
" 152,558.86 "," 14,525,902.00 ", 12.97 
" 152,340.56 "," 14,476,355.00 ", 12.71 
" 153,407.66 "," 14,495,604.00 ", 12.15 
" 145,012.82 "," 14,529,784.00 ", 12.80 
" 149,635.80 "," 14,529,942.00 ", 13.03 
" 149,820.84 "," 14,530,163.00 ", 13.34 
" 153,085.61 "," 14,558,903.00 ", 13.17 
" 152,850.36 "," 14,576,028.00 ", 13.01 
" 154,264.67 "," 14,621,138.00 ", 13.11 
" 150,695.28 "," 14,644,085.00 ", 13.08 
" 155,170.56 "," 14,760,925.00 ", 13.38 
" 159,885.92 "," 14,823,702.00 ", 13.24 
" 161,048.10 "," 14,968,101.00 ", 13.05 
" 169,990.77 "," 15,117,594.00 ", 13.09 
" 171,281.43 "," 15,128,607.00 ", 12.86 
" 169,952.83 "," 15,237,192.00 ", 12.97 
" 173,445.08 "," 15,439,785.00 ", 13.23 
" 166,883.37 "," 15,555,948.00 ", 13.08 
" 168,476.67 "," 15,587,045.00 ", 13.43 
" 167,197.66 "," 15,611,641.00 ", 13.48 
" 160,722.07 "," 15,612,157.00 ", 14.74 
" 161,337.16 "," 15,702,202.00 ", 14.99 
" 157,369.74 "," 15,768,290.00 ", 14.96 
" 157,903.98 "," 15,831,011.00 ", 15.26 
" 159,378.60 "," 15,992,426.00 ", 15.37 
" 155,076.10 "," 15,994,120.00 ", 15.38 
" 153,754.79 "," 16,059,509.00 ", 15.69 
" 145,687.61 "," 16,256,738.00 ", 16.08 
" 143,459.53 "," 16,277,416.00 ", 16.78 
